Log Start Time,2026-01-18T18:33:50
Delta uS,V Ch1,V Ch2, I, X, Y, Z, Temp, RTC Stamp
1001380.0,7.732,0.0,0.0000,0.08,0.08,8.16,69,2026-01-18T18:34:53
870680.0,7.732,0.0,0.0000,-0.94,5.33,12.47,70,2026-01-18T18:34:53
92040.0,7.446,0.0,0.0000,-2.51,8.47,9.57,70,2026-01-18T18:34:54
39128.0,7.475,0.0,0.0000,-2.98,4.86,6.90,70,2026-01-18T18:34:54
107576.0,7.475,0.0,0.0000,0.24,5.65,13.34,70,2026-01-18T18:34:54
36224.0,7.475,0.0,0.0000,-3.84,5.26,9.73,70,2026-01-18T18:34:54
87284.0,7.532,0.0,0.0000,-0.86,5.18,13.96,69,2026-01-18T18:34:54
33256.0,7.532,0.0,0.0000,-6.20,3.77,6.20,69,2026-01-18T18:34:54
36208.0,7.503,0.0,0.0000,-4.16,2.51,9.34,70,2026-01-18T18:34:54
34780.0,7.560,0.0,0.0000,-1.57,2.51,12.79,70,2026-01-18T18:34:54
81292.0,7.732,0.0,0.0000,-4.79,3.22,8.71,69,2026-01-18T18:34:54
82916.0,7.704,0.0,0.0000,-4.00,-1.73,12.79,69,2026-01-18T18:34:54
57660.0,7.761,0.0,0.0000,0.39,5.96,6.43,70,2026-01-18T18:34:54
1468.0,7.761,0.0,0.0000,-5.57,-1.65,12.24,70,2026-01-18T18:34:54
58464.0,8.047,0.0,0.0000,1.26,-2.51,8.63,69,2026-01-18T18:34:54
1464.0,7.847,0.0,0.0000,-2.75,0.63,13.10,69,2026-01-18T18:34:54
39520.0,7.904,0.0,0.0000,-3.92,4.94,4.39,69,2026-01-18T18:34:54
34856.0,7.990,0.0,0.0000,-0.78,-8.24,10.28,70,2026-01-18T18:34:54
89192.0,7.847,0.0,0.0000,7.14,-16.95,9.65,70,2026-01-18T18:34:54
218764.0,7.847,0.0,0.0000,-2.67,-8.47,4.71,70,2026-01-18T18:34:55
50684.0,7.847,0.0,0.0000,-0.31,4.71,18.83,69,2026-01-18T18:34:55
33452.0,7.875,0.0,0.0000,-4.79,19.22,11.77,70,2026-01-18T18:34:55
1480.0,7.875,0.0,0.0000,0.00,18.99,28.48,70,2026-01-18T18:34:55
1472.0,7.847,0.0,0.0000,-5.10,23.61,36.87,70,2026-01-18T18:34:55
1464.0,7.847,0.0,0.0000,-8.63,28.16,31.38,70,2026-01-18T18:34:55
1460.0,7.847,0.0,0.0000,-16.55,-5.41,11.14,70,2026-01-18T18:34:55
1468.0,7.847,0.0,0.0000,5.18,16.24,12.40,70,2026-01-18T18:34:55
560960.0,7.704,0.0,0.0000,12.24,3.92,9.49,70,2026-01-18T18:34:55
1468.0,7.704,0.0,0.0000,1.26,-9.10,10.98,70,2026-01-18T18:34:55
1464.0,7.675,0.0,0.0000,-5.18,-7.06,11.06,70,2026-01-18T18:34:55
33984.0,7.675,0.0,0.0000,7.69,-4.24,16.79,69,2026-01-18T18:34:55
49404.0,7.675,0.0,0.0000,0.94,-7.61,7.22,69,2026-01-18T18:34:55
33452.0,7.618,0.0,0.0000,1.33,-3.77,14.36,70,2026-01-18T18:34:55
229152.0,7.732,0.0,0.0000,0.86,-1.18,8.16,69,2026-01-18T18:34:56
481612.0,7.875,0.0,0.0000,-2.28,2.12,10.28,70,2026-01-18T18:34:56
97572.0,7.875,0.0,0.0000,-0.94,5.49,10.12,69,2026-01-18T18:34:56
33448.0,7.875,0.0,0.0000,-8.47,5.02,6.83,69,2026-01-18T18:34:56
1476.0,7.847,0.0,0.0000,-1.88,17.57,4.31,69,2026-01-18T18:34:56
1464.0,7.875,0.0,0.0000,-6.83,10.36,7.45,69,2026-01-18T18:34:56
57324.0,7.847,0.0,0.0000,-1.10,9.41,10.51,69,2026-01-18T18:34:56
328152.0,7.847,0.0,0.0000,0.00,-0.47,9.65,70,2026-01-18T18:34:57
405464.0,7.704,0.0,0.0000,6.51,-4.55,6.12,69,2026-01-18T18:34:57
89728.0,7.704,0.0,0.0000,2.43,-6.75,9.49,69,2026-01-18T18:34:57
75448.0,7.646,0.0,0.0000,2.51,-3.77,12.63,69,2026-01-18T18:34:57
258888.0,7.933,0.0,0.0000,0.00,3.06,11.61,69,2026-01-18T18:34:57
33312.0,7.904,0.0,0.0000,-1.96,7.22,8.87,69,2026-01-18T18:34:57
47920.0,7.875,0.0,0.0000,-1.57,11.14,9.65,69,2026-01-18T18:34:58
90192.0,7.818,0.0,0.0000,2.04,5.49,9.18,69,2026-01-18T18:34:58
228768.0,7.589,0.0,0.0000,-1.41,9.73,9.73,69,2026-01-18T18:34:58
