datetime,t_rel_us,A0_V
2026-05-10 20:18:48.105000,0,5.42406
2026-05-10 20:18:48.410005,305005,17.15470
2026-05-10 20:18:48.410240,305240,6.71314
2026-05-10 20:18:48.444000,0,25.97082
2026-05-10 20:18:48.444039,39,18.39947
2026-05-10 20:18:48.444178,178,8.38894
2026-05-10 20:18:48.479000,0,32.81403
2026-05-10 20:18:48.479027,27,25.00703
2026-05-10 20:18:48.479071,71,16.38125
2026-05-10 20:18:48.479127,127,12.32065
2026-05-10 20:18:48.479197,197,8.51785
2026-05-10 20:18:48.480296,1296,1.30000
