t_rel_ms,A0_V
2026-05-10 20:06:54.436197,41197,0.00000
2026-05-10 20:06:54.436226,41226,0.03540
2026-05-10 20:06:54.436254,41254,0.00000
2026-05-10 20:06:54.571000,0,0.00640
2026-05-10 20:06:54.585238,14238,2.04873
2026-05-10 20:06:54.585267,14267,2.03675
2026-05-10 20:06:54.585295,14295,2.03786
2026-05-10 20:06:54.585405,14405,2.03675
2026-05-10 20:06:54.586219,15219,0.00000
2026-05-10 20:06:54.586248,15248,0.00000
2026-05-10 20:06:54.586276,15276,0.00000
2026-05-10 20:06:54.586304,15304,0.00000
2026-05-10 20:06:54.660000,0,0.00000
2026-05-10 20:06:54.685242,25242,2.04964
2026-05-10 20:06:54.685270,25270,2.04536
2026-05-10 20:06:54.685299,25299,2.07870
2026-05-10 20:06:54.686235,26235,0.00000
2026-05-10 20:06:54.686263,26263,0.00000
2026-05-10 20:06:54.686292,26292,0.00000
2026-05-10 20:06:54.745000,0,0.00463
2026-05-10 20:06:54.785270,40270,2.03363
2026-05-10 20:06:54.785298,40298,2.03957
2026-05-10 20:06:54.785327,40327,2.03212
2026-05-10 20:06:54.785942,40942,2.06253
2026-05-10 20:06:54.786251,41251,0.00000
2026-05-10 20:06:54.786280,41280,0.00000
2026-05-10 20:06:54.786308,41308,0.00156
2026-05-10 20:06:54.786337,41337,0.00000
2026-05-10 20:06:54.844000,0,0.00000
2026-05-10 20:06:54.885298,41298,2.04964
2026-05-10 20:06:54.885327,41327,2.08428
2026-05-10 20:06:54.885355,41355,2.03675
2026-05-10 20:06:54.886318,42318,0.00000
2026-05-10 20:06:54.886347,42347,0.00000
2026-05-10 20:06:54.886375,42375,0.00000
2026-05-10 20:06:54.970000,0,0.00000
2026-05-10 20:06:54.985323,15323,2.06253
2026-05-10 20:06:54.985351,15351,2.03967
2026-05-10 20:06:54.985379,15379,2.03977
2026-05-10 20:06:54.986329,16329,0.00000
2026-05-10 20:06:54.986357,16357,0.02573
2026-05-10 20:06:54.986385,16385,0.00000
2026-05-10 20:06:55.054000,0,0.00000
2026-05-10 20:06:55.085352,31352,2.03524
2026-05-10 20:06:55.085381,31381,2.04320
2026-05-10 20:06:55.085409,31409,2.03977
2026-05-10 20:06:55.085520,31520,2.06903
2026-05-10 20:06:55.086347,32347,0.00000
2026-05-10 20:06:55.086376,32376,0.00000
2026-05-10 20:06:55.086404,32404,0.00000
2026-05-10 20:06:55.086432,32432,0.00000
2026-05-10 20:06:55.149000,0,0.00000
2026-05-10 20:06:55.185378,36378,2.04385
2026-05-10 20:06:55.185406,36406,2.04350
2026-05-10 20:06:55.185434,36434,2.03690
2026-05-10 20:06:55.185680,36680,2.06253
2026-05-10 20:06:55.186369,37369,0.00000
2026-05-10 20:06:55.186397,37397,0.00307
2026-05-10 20:06:55.186426,37426,0.02573
2026-05-10 20:06:55.186454,37454,0.00000
2026-05-10 20:06:55.243000,0,0.00000
2026-05-10 20:06:55.285414,42414,2.04732
2026-05-10 20:06:55.285443,42443,2.04732
2026-05-10 20:06:55.285471,42471,2.04430
2026-05-10 20:06:55.286420,43420,0.00000
2026-05-10 20:06:55.286449,43449,0.00000
2026-05-10 20:06:55.286477,43477,0.00000
2026-05-10 20:06:55.397000,0,0.00000
2026-05-10 20:06:55.435420,38420,2.01993
2026-05-10 20:06:55.435448,38448,2.04803
2026-05-10 20:06:55.435477,38477,2.06253
2026-05-10 20:06:55.435533,38533,2.03690
2026-05-10 20:06:55.436429,39429,0.00000
2026-05-10 20:06:55.436457,39457,0.01042
2026-05-10 20:06:55.436486,39486,0.00000
2026-05-10 20:06:55.493000,0,0.00000
2026-05-10 20:06:55.535474,42474,2.03030
2026-05-10 20:06:55.535502,42502,2.07769
2026-05-10 20:06:55.535531,42531,2.03846
2026-05-10 20:06:55.536494,43494,0.00000
2026-05-10 20:06:55.536522,43522,0.00217
