Timestamp(ms),Current(uA),D0-D7
51186,892.061,10000000
51187,891.491,10000000
51188,891.722,10000000
51189,891.615,10000000
51190,890.238,10000000
51191,890.910,10000000
51192,891.471,10000000
51193,892.012,10000000
51194,892.341,10000000
51195,891.870,10000000
51196,891.103,10000000
51197,889.689,10000000
51198,890.202,10000000
51199,889.489,10000000
51200,890.016,10000000
51201,890.730,10000000
51202,890.858,10000000
51203,891.819,10000000
51204,891.496,10000000
51205,891.912,10000000
51206,891.150,10000000
51207,878.971,10000000
51208,870.162,10000000
51209,882.546,10000000
51210,888.580,10000000
51211,889.848,10000000
51212,891.564,10000000
51213,890.494,10000000
51214,891.271,10000000
51215,890.855,10000000
51216,892.368,10000000
51217,892.301,10000000
51218,892.478,10000000
51219,890.666,10000000
51220,891.995,10000000
51221,891.999,10000000
51222,890.961,10000000
51223,890.423,10000000
51224,890.871,10000000
51225,890.799,10000000
51226,890.237,10000000
51227,889.684,10000000
51228,889.320,10000000
51229,890.436,10000000
51230,889.918,10000000
51231,889.610,10000000
51232,889.759,10000000
51233,889.987,10000000
51234,891.334,10000000
51235,891.410,10000000
51236,891.132,10000000
51237,891.004,10000000
51238,890.030,10000000
51239,890.261,10000000
51240,889.784,10000000
51241,890.668,10000000
51242,892.717,10000000
51243,892.143,10000000
51244,893.662,10000000
51245,893.238,10000000
