Timestamp(ms),Current(uA),D0-D7
5829,905.014,10000000
5830,905.479,10000000
5831,906.330,10000000
5832,905.250,10000000
5833,904.908,10000000
5834,905.431,10000000
5835,906.563,10000000
5836,907.119,10000000
5837,905.305,10000000
5838,906.237,10000000
5839,906.072,10000000
5840,905.986,10000000
5841,906.987,10000000
5842,907.065,10000000
5843,905.378,10000000
5844,905.328,10000000
5845,903.937,10000000
5846,905.454,10000000
5847,903.660,10000000
5848,904.439,10000000
5849,905.864,10000000
5850,905.914,10000000
5851,906.190,10000000
5852,906.424,10000000
5853,905.747,10000000
5854,906.678,10000000
5855,906.842,10000000
5856,906.697,10000000
5857,905.841,10000000
5858,905.891,10000000
5859,905.905,10000000
5860,905.803,10000000
5861,906.059,10000000
5862,905.304,10000000
5863,905.225,10000000
5864,905.430,10000000
5865,906.690,10000000
5866,905.705,10000000
5867,906.740,10000000
5868,905.190,10000000
5869,905.945,10000000
5870,906.116,10000000
5871,906.166,10000000
5872,905.595,10000000
5873,903.813,10000000
5874,904.417,10000000
5875,902.744,10000000
5876,903.750,10000000
5877,905.222,10000000
5878,906.070,10000000
5879,905.073,10000000
5880,903.893,10000000
5881,903.673,10000000
5882,905.032,10000000
5883,904.633,10000000
5884,903.071,10000000
5885,903.043,10000000
5886,904.409,10000000
5887,906.874,10000000
5888,905.886,10000000
5889,905.858,10000000
5890,904.640,10000000
5891,904.392,10000000
5892,904.946,10000000
5893,905.843,10000000
5894,905.570,10000000
5895,904.645,10000000
5896,905.097,10000000
5897,904.765,10000000
5898,904.786,10000000
5899,905.819,10000000
5900,904.469,10000000
5901,903.426,10000000
5902,904.236,10000000
5903,905.654,10000000
5904,905.010,10000000
5905,904.028,10000000
5906,905.320,10000000
5907,903.706,10000000
5908,904.626,10000000
5909,903.844,10000000
5910,903.471,10000000
5911,904.187,10000000
5912,903.368,10000000
5913,905.473,10000000
5914,905.350,10000000
5915,904.082,10000000
5916,904.603,10000000
5917,905.268,10000000
5918,905.830,10000000
5919,905.472,10000000
5920,903.872,10000000
5921,905.214,10000000
5922,906.587,10000000
5923,907.461,10000000
5924,905.568,10000000
5925,904.274,10000000
5926,902.770,10000000
5927,902.978,10000000
5928,903.176,10000000
5929,903.736,10000000
5930,902.101,10000000
5931,901.882,10000000
5932,903.589,10000000
5933,901.677,10000000
5934,900.795,10000000
5935,901.742,10000000
5936,902.667,10000000
5937,903.376,10000000
5938,903.301,10000000
5939,902.868,10000000
5940,902.834,10000000
5941,903.843,10000000
5942,904.321,10000000
5943,903.759,10000000
5944,904.524,10000000
5945,903.790,10000000
5946,904.208,10000000
5947,903.204,10000000
5948,904.579,10000000
5949,902.987,10000000
5950,903.255,10000000
5951,902.693,10000000
5952,902.106,10000000
5953,903.852,10000000
5954,904.119,10000000
5955,904.152,10000000
5956,903.680,10000000
5957,902.557,10000000
5958,903.263,10000000
5959,903.223,10000000
5960,903.607,10000000
5961,902.713,10000000
5962,902.748,10000000
