a5_V_10000000ohm,absdiff_V_10000000ohm,a5_V_1000000ohm,absdiff_V_1000000ohm,a5_V_330000ohm,absdiff_V_330000ohm,a5_V_10000ohm,absdiff_V_10000ohm,a5_V_1ohm,absdiff_V_1ohm
0.7413,0.3984,0.3393,0.0723,0.0106,0.0544,0.1052,0.0542,0.4831,0.1211
0.7481,0.4016,0.3421,0.0902,0.0106,0.0562,0.1054,0.0379,0.4847,0.1438
0.7503,0.4212,0.3430,0.0923,0.0108,0.0518,0.1095,0.0334,0.4862,0.1291
0.7530,0.4043,0.3439,0.0727,0.0109,0.0518,0.1118,0.0409,0.4866,0.1251
0.7589,0.4218,0.3471,0.0937,0.0109,0.0548,0.1120,0.0377,0.4868,0.1249
0.7637,0.4210,0.3472,0.0914,0.0109,0.0558,0.1134,0.0397,0.4891,0.1279
0.7694,0.4315,0.3492,0.0921,0.0109,0.0572,0.1148,0.0357,0.4922,0.1257
0.7712,0.4294,0.3549,0.0951,0.0112,0.0576,0.1205,0.0586,0.4933,0.1462
0.7799,0.4133,0.3552,0.0959,0.0315,0.0407,0.1249,0.0538,0.4935,0.1501
0.7816,0.4456,0.3598,0.0947,0.0376,0.0580,0.1275,0.0425,0.4953,0.1537
0.7824,0.4204,0.3617,0.0832,0.0771,0.0397,0.1317,0.0548,0.4955,0.1380
0.7851,0.4351,0.3661,0.1053,0.0900,0.0582,0.1375,0.0334,0.4966,0.1432
0.7944,0.4419,0.3671,0.0977,0.0982,0.0512,0.1407,0.0395,0.4979,0.1472
0.7950,0.4240,0.3700,0.0798,0.1219,0.0415,0.1457,0.0566,0.4987,0.1563
0.7978,0.4371,0.3727,0.0852,0.1274,0.0592,0.1508,0.0346,0.4998,0.1539
0.8041,0.4303,0.3741,0.0900,0.1275,0.0363,0.1558,0.0411,0.4999,0.1539
0.8118,0.4508,0.3764,0.0868,0.1276,0.0435,0.1583,0.0618,0.5005,0.1555
0.8136,0.4554,0.3789,0.1023,0.1321,0.0417,0.1593,0.0552,0.5026,0.1420
0.8149,0.4373,0.3800,0.0925,0.1334,0.0445,0.1621,0.0592,0.5032,0.1615
0.8218,0.4645,0.3815,0.0931,0.1340,0.0449,0.1656,0.0357,0.5057,0.1591
0.8238,0.4391,0.3859,0.0888,0.1356,0.0435,0.1681,0.0405,0.5074,0.1472
0.8274,0.4593,0.3941,0.1120,0.1359,0.0632,0.1848,0.0630,0.5078,0.1628
0.8280,0.4625,0.3976,0.1118,0.1388,0.0637,0.1870,0.0572,0.5104,0.1634
0.8281,0.4377,0.4017,0.1188,0.1459,0.0538,0.1888,0.0443,0.5125,0.1656
0.8391,0.4619,0.4112,0.1156,0.1470,0.0584,0.1892,0.0580,0.5132,0.1696
0.8405,0.4542,0.4141,0.1201,0.1493,0.0608,0.1903,0.0612,0.5150,0.1752
0.8432,0.4514,0.4150,0.1178,0.1516,0.0590,0.1921,0.0405,0.5189,0.1573
0.8500,0.4707,0.4155,0.1049,0.1528,0.0651,0.1929,0.0429,0.5190,0.1706
0.8540,0.4713,0.4175,0.1239,0.1541,0.0584,0.1944,0.0610,0.5246,0.1621
0.8578,0.4609,0.4213,0.1080,0.1545,0.0447,0.1962,0.0641,0.5251,0.1730
0.8595,0.4816,0.4253,0.1110,0.1597,0.0445,0.1973,0.0586,0.5287,0.1746
0.8639,0.4854,0.4269,0.1283,0.1611,0.0679,0.1975,0.0463,0.5310,0.1702
0.8786,0.4820,0.4281,0.1257,0.1613,0.0459,0.2034,0.0439,0.5355,0.1897
0.8803,0.4810,0.4291,0.1271,0.1664,0.0393,0.2058,0.0612,0.5378,0.1734
0.8866,0.4887,0.4293,0.1257,0.1667,0.0608,0.2059,0.0445,0.5420,0.1821
0.8882,0.4709,0.4313,0.1122,0.1735,0.0616,0.2104,0.0596,0.5427,0.1837
0.8968,0.4899,0.4346,0.1124,0.1823,0.0624,0.2119,0.0614,0.5459,0.2047
0.8999,0.4921,0.4368,0.1154,0.1825,0.0612,0.2133,0.0626,0.5502,0.1889
0.9084,0.4963,0.4372,0.1128,0.1849,0.0401,0.2167,0.0455,0.5521,0.2081
0.9092,0.4957,0.4381,0.1110,0.1856,0.0453,0.2183,0.0471,0.5559,0.2117
0.9170,0.4987,0.4386,0.1342,0.1867,0.0632,0.2246,0.0389,0.5586,0.2135
0.9212,0.4977,0.4391,0.1188,0.1894,0.0471,0.2284,0.0626,0.5593,0.1992
0.9239,0.4873,0.4392,0.1196,0.1902,0.0475,0.2293,0.0612,0.5692,0.2022
0.9306,0.5036,0.4402,0.1346,0.1909,0.0628,0.2302,0.0451,0.5697,0.2153
0.9323,0.4991,0.4409,0.1182,0.1913,0.0675,0.2326,0.0461,0.5739,0.2218
0.9342,0.5086,0.4415,0.1348,0.1928,0.0663,0.2332,0.0469,0.5753,0.2202
0.9436,0.4889,0.4417,0.1158,0.1930,0.0624,0.2362,0.0634,0.5795,0.2242
0.9594,0.5195,0.4423,0.1172,0.1951,0.0659,0.2404,0.0626,0.5802,0.2216
0.9605,0.5151,0.4431,0.1368,0.1957,0.0439,0.2422,0.0500,0.5820,0.2129
0.9641,0.5020,0.4439,0.1192,0.1964,0.0614,0.2476,0.0453,0.5877,0.2329
0.9735,0.4975,0.4445,0.1360,0.1971,0.0620,0.2479,0.0630,0.5879,0.2181
0.9753,0.5213,0.4455,0.1386,0.1982,0.0626,0.2508,0.0624,0.5899,0.2226
0.9781,0.5259,0.4458,0.1344,0.1992,0.0630,0.2524,0.0479,0.5951,0.2377
0.9842,0.5203,0.4459,0.1257,0.2001,0.0469,0.2526,0.0641,0.5972,0.2490
0.9845,0.5136,0.4462,0.1321,0.2014,0.0687,0.2528,0.0671,0.5974,0.2373
0.9866,0.5227,0.4473,0.1331,0.2032,0.0703,0.2569,0.0481,0.5995,0.2409
0.9960,0.5157,0.4476,0.1170,0.2087,0.0665,0.2591,0.0435,0.5998,0.2206
0.9979,0.5177,0.4476,0.1356,0.2103,0.0663,0.2611,0.0693,0.6030,0.2421
0.9986,0.5181,0.4489,0.1380,0.2110,0.0506,0.2651,0.0653,0.6116,0.2443
1.0079,0.5372,0.4497,0.1205,0.2110,0.0659,0.2655,0.0441,0.6132,0.2343
1.0105,0.5211,0.4508,0.1400,0.2141,0.0500,0.2680,0.0522,0.6139,0.2556
1.0107,0.5219,0.4526,0.1257,0.2141,0.0721,0.2682,0.0669,0.6162,0.2526
1.0168,0.5159,0.4535,0.1394,0.2143,0.0661,0.2691,0.0520,0.6168,0.2566
1.0271,0.5445,0.4543,0.1436,0.2158,0.0663,0.2728,0.0685,0.6227,0.2415
