# threshold_resistor_ohms,330000
a5_V,post_toggle_abs_diff_V
1.5898,0.5559
1.5914,0.5533
1.5920,0.5648
1.5934,0.5529
1.5949,0.5529
1.5949,0.5535
1.5956,0.5666
1.5957,0.5676
1.5988,0.5511
1.5997,0.5543
1.6017,0.5644
1.6022,0.5652
1.6023,0.5700
1.6024,0.5654
1.6030,0.5684
1.6031,0.5563
1.6032,0.5644
1.6032,0.5680
1.6044,0.5527
1.6046,0.5533
1.6054,0.5567
1.6054,0.5694
1.6055,0.5727
1.6077,0.5729
1.6096,0.5576
1.6102,0.5553
1.6112,0.5453
1.6128,0.5735
1.6135,0.5658
1.6135,0.5751
1.6137,0.5555
1.6138,0.5660
1.6141,0.5563
1.6143,0.5719
1.6144,0.5743
1.6149,0.5660
1.6161,0.5555
1.6172,0.5584
1.6173,0.5545
1.6175,0.5642
1.6179,0.5433
1.6187,0.5717
1.6188,0.5559
1.6202,0.5553
1.6228,0.5565
1.6238,0.5666
1.6238,0.5694
1.6247,0.5759
1.6253,0.5594
1.6259,0.5676
1.6262,0.5561
1.6266,0.5588
1.6267,0.5686
1.6275,0.5676
1.6281,0.5668
1.6284,0.5783
1.6285,0.5735
1.6297,0.5696
1.6312,0.5779
1.6320,0.5604
1.6329,0.5545
1.6329,0.5569
1.6334,0.5676
1.6346,0.5602
1.6346,0.5696
1.6353,0.5719
1.6362,0.5567
1.6374,0.5557
1.6377,0.5737
1.6377,0.5765
1.6382,0.5668
1.6388,0.5588
1.6390,0.5602
1.6391,0.5694
1.6392,0.5696
1.6398,0.5741
1.6399,0.5678
1.6400,0.5735
1.6404,0.5574
1.6404,0.5721
1.6409,0.5541
1.6409,0.5733
1.6424,0.5620
1.6426,0.5721
1.6431,0.5739
1.6439,0.5749
1.6440,0.5561
1.6457,0.5713
1.6467,0.5559
1.6469,0.5586
1.6473,0.5688
1.6485,0.5715
1.6485,0.5725
1.6488,0.5580
1.6526,0.5630
1.6531,0.5616
1.6535,0.5592
1.6538,0.5598
1.6541,0.5700
1.6545,0.5614
1.6550,0.5698
1.6551,0.5733
1.6558,0.5636
1.6561,0.5626
1.6566,0.5592
1.6569,0.5485
1.6570,0.5729
1.6577,0.5749
1.6579,0.5616
1.6585,0.5549
1.6586,0.5620
1.6588,0.5549
1.6588,0.5630
1.6605,0.5719
1.6606,0.5578
1.6606,0.5733
1.6615,0.5775
1.6619,0.5622
1.6629,0.5749
1.6633,0.5656
1.6640,0.5729
1.6644,0.5737
1.6650,0.5745
1.6658,0.5753
1.6659,0.5559
1.6659,0.5642
1.6667,0.5757
1.6673,0.5640
1.6685,0.5640
1.6687,0.5616
1.6689,0.5751
1.6692,0.5630
1.6700,0.5733
1.6701,0.5588
1.6701,0.5640
1.6704,0.5715
1.6705,0.5739
1.6719,0.5632
1.6725,0.5757
1.6725,0.5799
1.6727,0.5721
1.6728,0.5551
1.6731,0.5636
1.6731,0.5777
1.6732,0.5565
1.6733,0.5809
1.6736,0.5733
1.6738,0.5815
1.6747,0.5737
1.6752,0.5783
1.6752,0.5813
1.6755,0.5515
1.6757,0.5727
1.6760,0.5549
1.6762,0.5783
1.6764,0.5729
1.6766,0.5608
1.6768,0.5747
1.6768,0.5753
1.6770,0.5729
1.6771,0.5559
1.6771,0.5632
1.6773,0.5602
1.6780,0.5634
1.6781,0.5795
1.6784,0.5624
1.6785,0.5658
1.6787,0.5749
1.6789,0.5729
1.6795,0.5743
1.6796,0.5630
1.6797,0.5640
1.6797,0.5795
1.6799,0.5632
1.6801,0.5604
1.6801,0.5620
1.6805,0.5789
1.6809,0.5592
1.6812,0.5547
1.6812,0.5642
1.6812,0.5749
1.6813,0.5551
1.6813,0.5616
1.6815,0.5735
1.6818,0.5660
1.6818,0.5684
1.6820,0.5632
1.6823,0.5755
1.6823,0.5779
1.6826,0.5731
1.6827,0.5747
1.6828,0.5777
1.6832,0.5567
1.6835,0.5733
1.6836,0.5666
1.6838,0.5668
1.6839,0.5755
1.6840,0.5640
1.6841,0.5763
1.6843,0.5650
1.6843,0.5739
1.6844,0.5779
1.6847,0.5549
1.6850,0.5773
1.6850,0.5811
1.6850,0.5829
1.6851,0.5680
1.6852,0.5652
1.6854,0.5759
1.6856,0.5654
1.6859,0.5523
1.6860,0.5775
1.6861,0.5777
1.6863,0.5612
1.6863,0.5650
1.6863,0.5769
1.6864,0.5521
1.6864,0.5775
1.6865,0.5757
1.6867,0.5761
1.6868,0.5545
1.6868,0.5727
1.6870,0.5741
1.6870,0.5753
1.6874,0.5777
1.6876,0.5634
1.6879,0.5644
1.6881,0.5644
1.6882,0.5572
1.6884,0.5753
1.6886,0.5620
1.6886,0.5650
1.6888,0.5676
1.6889,0.5614
1.6890,0.5749
1.6892,0.5551
1.6892,0.5551
1.6892,0.5823
1.6893,0.5664
1.6893,0.5684
1.6894,0.5563
1.6897,0.5664
1.6898,0.5604
1.6898,0.5640
1.6898,0.5765
1.6898,0.5793
1.6903,0.5795
1.6904,0.5743
1.6906,0.5799
1.6907,0.5656
1.6907,0.5779
1.6907,0.5837
1.6908,0.5749
1.6913,0.5626
1.6915,0.5620
1.6916,0.5789
1.6917,0.5845
1.6918,0.5656
1.6919,0.5845
1.6925,0.5757
1.6926,0.5557
1.6927,0.5759
1.6931,0.5612
1.6933,0.5767
1.6934,0.5741
1.6935,0.5519
1.6936,0.5612
1.6938,0.5666
1.6941,0.5785
1.6942,0.5664
1.6945,0.5845
1.6948,0.5608
1.6948,0.5777
1.6949,0.5741
1.6949,0.5771
1.6951,0.5608
1.6953,0.5563
1.6953,0.5757
1.6955,0.5753
1.6956,0.5781
1.6958,0.5664
1.6958,0.5753
1.6959,0.5656
1.6961,0.5777
1.6962,0.5572
1.6962,0.5793
1.6965,0.5646
1.6966,0.5789
1.6969,0.5823
1.6971,0.5799
1.6973,0.5821
1.6973,0.5862
1.6975,0.5670
1.6977,0.5843
1.6979,0.5664
1.6983,0.5666
1.6983,0.5823
1.6985,0.5660
1.6985,0.5775
1.6989,0.5654
1.6990,0.5624
1.6990,0.5775
